wood_type,length_from_ft,length_to_ft,width_in,thickness_in,rate_per_gf
BABOOL,1.5,2.25,1.5,1,675
BABOOL,1.5,2.25,2,1,675
BABOOL,1.5,2.25,2,1.5,750
BABOOL,1.5,2.25,2.5,1,750
BABOOL,1.5,2.25,2.5,1.5,750
BABOOL,1.5,2.25,2.5,2.5,775
BABOOL,1.5,2.25,3,1,675
BABOOL,1.5,2.25,3,1.5,750
BABOOL,1.5,2.25,3,2,775
BABOOL,1.5,2.25,3,3,775
BABOOL,1.5,2.25,4,1.5,775
BABOOL,1.5,2.25,4,3,775
BABOOL,1.5,2.25,5,3,775
BABOOL,1.5,2.25,6,1,825
BABOOL,1.5,2.25,6,1.5,825
BABOOL,1.5,2.25,6,2,875
BABOOL,1.5,2.25,6,4,875
BABOOL,1.5,2.25,8,2,875
BABOOL,2.5,2.75,1.5,1,675
BABOOL,2.5,2.75,2,1,675
BABOOL,2.5,2.75,2,1.5,750
BABOOL,2.5,2.75,2.5,1,750
BABOOL,2.5,2.75,2.5,1.5,750
BABOOL,2.5,2.75,2.5,2.5,800
BABOOL,2.5,2.75,3,1,675
BABOOL,2.5,2.75,3,1.5,750
BABOOL,2.5,2.75,3,2,800
BABOOL,2.5,2.75,3,3,800
BABOOL,2.5,2.75,4,1.5,800
BABOOL,2.5,2.75,4,3,800
BABOOL,2.5,2.75,5,3,800
BABOOL,2.5,2.75,6,1,875
BABOOL,2.5,2.75,6,1.5,875
BABOOL,2.5,2.75,6,2,925
BABOOL,2.5,2.75,6,4,925
BABOOL,2.5,2.75,8,2,925
BABOOL,3,4.75,1.5,1,725
BABOOL,3,4.75,2,1,725
BABOOL,3,4.75,2,1.5,775
BABOOL,3,4.75,2.5,1,775
BABOOL,3,4.75,2.5,1.5,775
BABOOL,3,4.75,2.5,2.5,875
BABOOL,3,4.75,3,1,725
BABOOL,3,4.75,3,1.5,775
BABOOL,3,4.75,3,2,825
BABOOL,3,4.75,3,3,875
BABOOL,3,4.75,4,1.5,825
BABOOL,3,4.75,4,3,875
BABOOL,3,4.75,5,3,875
BABOOL,3,4.75,6,1,925
BABOOL,3,4.75,6,1.5,925
BABOOL,3,4.75,6,2,975
BABOOL,3,4.75,6,4,975
BABOOL,3,4.75,8,2,975
BABOOL,5,5.75,1.5,1,775
BABOOL,5,5.75,2,1,775
BABOOL,5,5.75,2,1.5,825
BABOOL,5,5.75,2.5,1,825
BABOOL,5,5.75,2.5,1.5,825
BABOOL,5,5.75,2.5,2.5,800
BABOOL,5,5.75,3,1,775
BABOOL,5,5.75,3,1.5,825
BABOOL,5,5.75,3,2,825
BABOOL,5,5.75,4,1.5,825
BABOOL,5,5.75,5,3,800
BABOOL,6,7.75,1.5,1,825
BABOOL,6,7.75,2,1,825
BABOOL,6,7.75,2,1.5,875
BABOOL,6,7.75,2.5,1,875
BABOOL,6,7.75,2.5,1.5,875
BABOOL,6,7.75,3,1,825
BABOOL,6,7.75,3,1.5,875
SAGWOOD,1.5,2.25,1.5,1,835
SAGWOOD,1.5,2.25,2,1,835
SAGWOOD,1.5,2.25,2,1.5,975
SAGWOOD,1.5,2.25,2,2,975
SAGWOOD,1.5,2.25,2.5,1.5,1025
SAGWOOD,1.5,2.25,2.5,2.5,1125
SAGWOOD,1.5,2.25,3,1,835
SAGWOOD,1.5,2.25,3,1.5,1025
SAGWOOD,1.5,2.25,3,2,1125
SAGWOOD,1.5,2.25,4,1,1075
SAGWOOD,1.5,2.25,4,1.5,1075
SAGWOOD,1.5,2.25,4,2,1475
SAGWOOD,1.5,2.25,4,4,1275
SAGWOOD,1.5,2.25,5,1,1075
SAGWOOD,1.5,2.25,5,1.5,1275
SAGWOOD,1.5,2.25,5,2,1275
SAGWOOD,1.5,2.25,6,1.5,1475
SAGWOOD,1.5,2.25,6,2,1555
SAGWOOD,1.5,2.25,6,4,1555
SAGWOOD,1.5,2.25,8,2,1555
SAGWOOD,2.5,2.75,1.5,1,876
SAGWOOD,2.5,2.75,2,1,876
SAGWOOD,2.5,2.75,2,1.5,1075
SAGWOOD,2.5,2.75,2,2,1075
SAGWOOD,2.5,2.75,2.5,1.5,1075
SAGWOOD,2.5,2.75,2.5,2.5,1175
SAGWOOD,2.5,2.75,3,1,876
SAGWOOD,2.5,2.75,3,1.5,1075
SAGWOOD,2.5,2.75,3,2,1175
SAGWOOD,2.5,2.75,4,1,1175
SAGWOOD,2.5,2.75,4,1.5,1175
SAGWOOD,2.5,2.75,4,2,1525
SAGWOOD,2.5,2.75,4,4,1325
SAGWOOD,2.5,2.75,5,1,1175
SAGWOOD,2.5,2.75,5,1.5,1325
SAGWOOD,2.5,2.75,5,2,1325
SAGWOOD,2.5,2.75,6,1.5,1525
SAGWOOD,2.5,2.75,6,2,1675
SAGWOOD,2.5,2.75,6,4,1675
SAGWOOD,2.5,2.75,8,2,1675
SAGWOOD,3,4.75,1.5,1,926
SAGWOOD,3,4.75,2,1,926
SAGWOOD,3,4.75,2,1.5,1125
SAGWOOD,3,4.75,2,2,1125
SAGWOOD,3,4.75,2.5,1.5,1125
SAGWOOD,3,4.75,2.5,2.5,1325
SAGWOOD,3,4.75,3,1,926
SAGWOOD,3,4.75,3,1.5,1125
SAGWOOD,3,4.75,3,2,1325
SAGWOOD,3,4.75,4,1,1275
SAGWOOD,3,4.75,4,1.5,1275
SAGWOOD,3,4.75,4,2,1625
SAGWOOD,3,4.75,4,4,1475
SAGWOOD,3,4.75,5,1,1275
SAGWOOD,3,4.75,5,1.5,1475
SAGWOOD,3,4.75,5,2,1475
SAGWOOD,3,4.75,6,1.5,1625
SAGWOOD,3,4.75,6,2,1775
SAGWOOD,3,4.75,6,4,1775
SAGWOOD,3,4.75,8,2,1775
SAGWOOD,5,5.75,1.5,1,1046
SAGWOOD,5,5.75,2,1,1046
SAGWOOD,5,5.75,2,1.5,1375
SAGWOOD,5,5.75,2,2,1375
SAGWOOD,5,5.75,2.5,1.5,1275
SAGWOOD,5,5.75,2.5,2.5,1525
SAGWOOD,5,5.75,3,1,1046
SAGWOOD,5,5.75,3,1.5,1275
SAGWOOD,5,5.75,3,2,1525
SAGWOOD,5,5.75,4,1,1375
SAGWOOD,5,5.75,4,1.5,1375
SAGWOOD,5,5.75,4,4,1525
SAGWOOD,5,5.75,5,1,1375
SAGWOOD,5,5.75,5,1.5,1525
SAGWOOD,5,5.75,5,2,1525
SAGWOOD,6,7.75,1.5,1,1175
SAGWOOD,6,7.75,2,1,1175
SAGWOOD,6,7.75,2,1.5,1575
SAGWOOD,6,7.75,2,2,1575
SAGWOOD,6,7.75,2.5,1.5,1425
SAGWOOD,6,7.75,3,1,1175
SAGWOOD,6,7.75,3,1.5,1425
